# Senorita Divide #2 (744)
# New Mexico  SNOTEL Site - 8600 ft
# Daily Data for Period of Record
#
# (As of: Wed Jun 15 12:37:35 GMT-08:00 2016)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.00
1980-10-12,0.0,0.0,,,,0.00
1980-10-13,0.0,0.0,,,,0.20
1980-10-14,0.0,0.2,,,,0.60
1980-10-15,0.0,0.8,,,,0.00
1980-10-16,0.0,0.8,,,,0.00
1980-10-17,0.0,0.8,,,,0.00
1980-10-18,0.0,0.8,,,,0.00
1980-10-19,0.0,0.8,,,,0.00
1980-10-20,0.0,0.8,,,,0.00
1980-10-21,0.0,0.8,,,,0.00
1980-10-22,0.0,0.8,,,,0.00
1980-10-23,0.0,0.8,,,,0.20
1980-10-24,0.0,1.0,,,,0.20
1980-10-25,0.0,1.2,,,,0.60
1980-10-26,0.0,1.8,,,,0.50
1980-10-27,0.0,2.3,,,,0.60
1980-10-28,0.0,2.9,,,,0.20
1980-10-29,1.0,3.1,,,,0.00
1980-10-30,1.0,3.1,,,,0.00
1980-10-31,1.0,3.1,,,,0.00
1980-11-01,1.0,3.1,,,,0.00
1980-11-02,1.0,3.1,,,,0.00
1980-11-03,1.0,3.1,,,,0.00
1980-11-04,1.0,3.1,,,,0.00
1980-11-05,1.0,3.1,,,,0.00
1980-11-06,1.0,3.1,,,,0.00
1980-11-07,1.0,3.1,,,,0.00
1980-11-08,1.0,3.1,,,,0.00
1980-11-09,1.0,3.1,,,,0.00
1980-11-10,1.0,3.1,,,,0.00
1980-11-11,1.0,3.1,,,,0.00
1980-11-12,1.0,3.1,,,,0.00
1980-11-13,1.0,3.1,,,,0.00
1980-11-14,1.0,3.1,,,,0.00
1980-11-15,1.0,3.1,,,,0.20
1980-11-16,1.0,3.3,,,,0.00
1980-11-17,1.0,3.3,,,,0.00
1980-11-18,1.0,3.3,,,,0.00
1980-11-19,1.0,3.3,,,,0.00
1980-11-20,1.0,3.3,,,,0.00
1980-11-21,1.0,3.3,,,,0.10
1980-11-22,1.0,3.4,,,,0.20
1980-11-23,1.0,3.6,,,,0.40
1980-11-24,1.0,4.0,,,,0.00
1980-11-25,1.1,4.0,,,,0.10
1980-11-26,1.2,4.1,,,,0.10
1980-11-27,1.3,4.2,,,,0.00
1980-11-28,1.5,4.2,,,,0.00
1980-11-29,1.7,4.2,,,,0.00
1980-11-30,1.8,4.2,,,,0.00
1980-12-01,1.9,4.2,,,,0.00
1980-12-02,2.0,4.2,,,,0.00
1980-12-03,2.0,4.2,,,,0.10
1980-12-04,2.0,4.3,,,,0.00
1980-12-05,2.0,4.3,,,,0.20
1980-12-06,2.0,4.5,,,,0.10
1980-12-07,2.3,4.6,,,,0.20
1980-12-08,2.5,4.8,,,,0.00
1980-12-09,2.8,4.8,,,,0.00
1980-12-10,2.8,4.8,,,,0.00
1980-12-11,2.9,4.8,,,,0.20
1980-12-12,3.0,5.0,,,,0.00
1980-12-13,3.0,5.0,,,,0.00
1980-12-14,3.1,5.0,,,,0.00
1980-12-15,3.1,5.0,,,,0.00
1980-12-16,3.1,5.0,,,,0.00
1980-12-17,3.1,5.0,,,,0.00
1980-12-18,3.1,5.0,,,,0.00
1980-12-19,3.1,5.0,,,,0.00
1980-12-20,3.1,5.0,,,,0.00
1980-12-21,3.1,5.0,,,,0.00
1980-12-22,3.1,5.0,,,,0.00
1980-12-23,3.1,5.0,,,,0.10
1980-12-24,3.1,5.1,,,,0.00
1980-12-25,3.4,5.1,,,,0.00
1980-12-26,3.4,5.1,,,,0.00
1980-12-27,3.3,5.1,,,,0.00
1980-12-28,3.3,5.1,,,,0.00
1980-12-29,3.3,5.1,,,,0.00
1980-12-30,3.3,5.1,,,,0.00
1980-12-31,3.3,5.1,,,,0.00
1981-01-01,3.3,5.1,,,,0.00
1981-01-02,3.3,5.1,,,,0.00
1981-01-03,3.3,5.1,,,,0.00
1981-01-04,3.0,5.1,,,,0.00
1981-01-05,3.0,5.1,,,,0.00
1981-01-06,2.6,5.1,,,,0.00
1981-01-07,1.6,5.1,,,,0.00
1981-01-08,1.6,5.1,,,,0.00
1981-01-09,1.6,5.1,,,,0.00
1981-01-10,1.6,5.1,,,,0.00
1981-01-11,1.6,5.1,,,,0.00
1981-01-12,1.7,5.1,,,,0.00
1981-01-13,1.8,5.1,,,,0.00
1981-01-14,2.0,5.1,,,,0.00
1981-01-15,2.0,5.1,,,,0.00
1981-01-16,2.0,5.1,,,,0.00
1981-01-17,2.0,5.1,,,,0.20
1981-01-18,2.1,5.3,,,,0.00
1981-01-19,2.4,5.3,,,,0.00
1981-01-20,2.4,5.3,,,,0.00
1981-01-21,2.4,5.3,,,,0.10
1981-01-22,2.4,5.4,,,,0.00
1981-01-23,2.5,5.4,,,,0.00
1981-01-24,2.5,5.4,,,,0.00
1981-01-25,2.5,5.4,,,,0.00
1981-01-26,2.5,5.4,,,,0.00
1981-01-27,2.5,5.4,,,,0.00
1981-01-28,2.6,5.4,,,,0.00
1981-01-29,2.7,5.4,,,,0.00
1981-01-30,2.7,5.4,,,,0.00
1981-01-31,2.8,5.4,,,,0.00
1981-02-01,3.0,5.4,,,,0.00
1981-02-02,3.1,5.4,,,,0.00
1981-02-03,3.2,5.4,,,,0.00
1981-02-04,3.2,5.4,,,,0.00
1981-02-05,3.2,5.4,,,,0.30
1981-02-06,3.2,5.7,,,,0.00
1981-02-07,3.3,5.7,,,,0.20
1981-02-08,3.4,5.9,,,,0.50
1981-02-09,3.4,6.4,,,,0.00
1981-02-10,3.9,6.4,,,,0.20
1981-02-11,4.1,6.6,,,,0.00
1981-02-12,4.1,6.6,,,,0.00
1981-02-13,4.3,6.6,,,,0.00
1981-02-14,4.3,6.6,,,,0.00
1981-02-15,4.3,6.6,,,,0.00
1981-02-16,4.3,6.6,,,,0.00
1981-02-17,4.3,6.6,,,,0.00
1981-02-18,4.3,6.6,,,,0.00
1981-02-19,4.3,6.6,,,,0.00
1981-02-20,4.3,6.6,,,,0.00
1981-02-21,4.3,6.6,,,,0.00
1981-02-22,4.3,6.6,,,,0.10
1981-02-23,4.3,6.7,,,,0.00
1981-02-24,4.5,6.7,,,,0.00
1981-02-25,4.6,6.7,,,,0.10
1981-02-26,4.6,6.8,,,,0.00
1981-02-27,4.8,6.8,,,,0.00
1981-02-28,4.8,6.8,,,,0.30
1981-03-01,4.8,7.1,,,,0.00
1981-03-02,4.8,7.1,,,,0.80
1981-03-03,5.5,7.9,,,,0.20
1981-03-04,5.6,8.1,,,,0.10
1981-03-05,5.9,8.2,,,,0.20
1981-03-06,6.2,8.4,,,,0.00
1981-03-07,6.2,8.4,,,,0.00
1981-03-08,6.2,8.4,,,,0.30
1981-03-09,6.2,8.7,,,,1.00
1981-03-10,6.2,9.7,,,,0.30
1981-03-11,6.9,10.0,,,,0.10
1981-03-12,7.3,10.1,,,,0.00
1981-03-13,7.4,10.1,,,,0.60
